theme,location,date,img src,link
浪你笑S2_喜劇拼盤秀,高雄市,2023.06.23 (五) 19:00 -  21:00,https://static.accupass.com/eventbanner/2306030133514991107540_P520x260.jpg,https://www.accupass.com/event/2306030130453553505300?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【雄中喜劇×喜劇開港處男秀｜盛情男劇】,高雄市,2023.07.15 (六) 14:00 -  17:30,https://static.accupass.com/eventbanner/2306140332291658403745_P520x260.jpg,https://www.accupass.com/event/2306121720461877723190?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
三咖啡喜劇夜 - 端午節之粽慾過度,台北市,2023.06.29 (四) 20:00 -  21:30,https://static.accupass.com/eventbanner/2305050531341907819615_P520x260.jpg,https://www.accupass.com/event/2305050541131951743587?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
喜劇開港脫口秀open mic (六月場）,高雄市,2023.06.02 (五) 20:00 - 06.30 (五) 22:00,https://static.accupass.com/eventbanner/2305301336471108509049_P520x260.jpg,https://www.accupass.com/event/2305270558242835127160?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【卡米地笑星孵化學院】創造自已的獨特喜感—青少年脫口秀喜劇工作坊 (脫口秀大師兄 壯壯授課),台北市,2023.08.14 (一) 10:00 - 08.19 (六) 17:00,https://static.accupass.com/eventbanner/2305091100502003989000_P520x260.jpg,https://www.accupass.com/event/2305040140359742533050?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
2023｜六月｜星期四 老鳥試段子｜單口喜劇 Open Mic,台北市,2023.06.01 (四) 20:00 - 06.29 (四) 21:10,https://static.accupass.com/eventbanner/2305211240381439427473_P520x260.jpg,https://www.accupass.com/event/2305211224232918298730?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【卡米地笑星孵化學院】解封你的即興天賦---即興遊戲表演紓壓工作坊  (即興引導教練 歐耶老師授課),台北市,2023.08.21 (一) 10:00 - 08.27 (日) 17:00,https://static.accupass.com/eventbanner/2305071259082882825760_P520x260.jpg,https://www.accupass.com/event/2305071255451325995820?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
2023｜6月7月｜音樂喜劇Open Mic｜主持：怡岑,台北市,2023.06.11 (日) 20:00 - 07.09 (日) 21:15,https://static.accupass.com/eventbanner/2305211247581647097483_P520x260.jpg,https://www.accupass.com/event/2303250720382035793497?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
單口喜劇個人專場｜《工作人員》｜李安,台北市,2023.07.15 (六) 19:30 -  20:45,https://static.accupass.com/eventbanner/2305310903161274410008_P520x260.jpg,https://www.accupass.com/event/2305310908091485751446?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【卡米地笑星孵化學院】 日本人的青少年漫才暑期班  (原汁原味日式搞笑-漫才少爺授課),台北市,2023.07.17 (一) 09:30 - 07.22 (六) 21:30,https://static.accupass.com/eventbanner/2305091051451738870632_P520x260.jpg,https://www.accupass.com/event/2304161106441396473519?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【卡米地笑星孵化學院】一開口就有魅力—聲音表達工作坊 (資深聲音導演 王華怡老師授課),台北市,2023.07.25 (二) 19:30 - 09.12 (二) 21:30,https://static.accupass.com/eventbanner/2305040139332434971720_P520x260.jpg,https://www.accupass.com/event/2304150551467019506660?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
文森站立喜劇Ep3. 得不到最想要,台北市,2023.09.15 (五) 20:30 -  22:00,https://static.accupass.com/eventbanner/2306161526061638155215_P520x260.jpg,https://www.accupass.com/event/2306141528131696001115?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【卡米地笑星孵化學院】 日本人的漫才工作坊  (原汁原味日本人-漫才少爺授課),台北市,2023.07.03 (一) 19:30 - 09.18 (一) 22:00,https://static.accupass.com/eventbanner/2305091053129075944390_P520x260.jpg,https://www.accupass.com/event/2304162018371005525952?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
